Region Code Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses,Expenses
Africa,320,UK NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,UKMNC,PRIV_UK NATIONAL COMMITTEE,0.00%,0
Africa,321,NETHERLANDS ORGANISATION FOR I,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NOFIC,PRIV_NETHERLANDS ORGANISATION,0.00%,0
Africa,323,FINLAND NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FINNC,PRIV_FINLAND NATIONAL COMMITTE,0.00%,458
Africa,326,NEW ZEALAND NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NZENC,PRIV_NEW ZEALAND NATIONAL COMM,0.00%,0
Africa,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,7.81%,"142,767,225"
Africa,328,AUSTRALIA AG FOR INTNL DEV:UNC,AUS,Australia,AUS_MIN,Australia Ministry,0.00%,0
Africa,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,0.00%,0
Africa,332,AG FRANCAISE DE DVLPP:UNCDF,OTH_CDF1,OTHERS_UNCDF1,OTH_CDF2,OTHERS_UNCDF2,0.00%,566
Africa,346,NORWEGIAN AG DEV COOP:UNCDF,NOR,Norway,NOR_MIN,Norway Ministry,0.06%,"1,017,855"
Africa,359,UNDP NIGER: UNCDF ONLY,-,-,-,-,0.00%,0
Africa,378,UNDP TRINIDAD & TOBAGO:UNCDF,-,-,-,-,0.00%,0
Africa,390,UN CONF ON TRADE & DEVELOPMENT,UN_AGY 1,UN AGENCY 1,UNCTAD,AGY_UN CONF ON TRADE & DEVELOP,0.00%,0
Africa,392,US AG FOR INTNL. DEVLP :UNCDF,OTH_CDF1,OTHERS_UNCDF1,OTH_CDF2,OTHERS_UNCDF2,0.00%,0
Africa,455,JAPANESE INTNL COOP AC.:UNCDF,JPN,Japan,JPN_GOVT,Japan Government,0.04%,"727,161"
Africa,471,AUSTRALIAN AG INTL DEV.:UNCDF,AUS,Australia,AUS_MIN,Australia Ministry,0.00%,0
Africa,482,AUSTRIAN AID,AUT,Austria,AUT_GOVT,Austria Government,0.00%,0
Africa,519,UNDP KENYA:UNCDF ONLY,-,-,-,-,0.00%,0
Africa,543,FORUM SYD,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FORUMSYD,PRIV_FORUM SYD,0.00%,0
Africa,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,0.27%,"4,976,834"
Africa,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0.90%,"16,407,278"
Africa,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,0.70%,"12,757,466"
Africa,556,SNV NETHERLANDS DEVELOPMENT OR,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SNV,Unknown Type of Agency,0.00%,0
Africa,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,0.00%,0
Africa,560,INTERNATIONAL DEVELOPMENT AGEN,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,(0.01%),"(132,979)"
Africa,565,DEUTSCHER ENTWICKLUNGSDIENST,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,DED,PRIV_DEUTSCHER ENTWICKLUNGSDIE,0.00%,0
Africa,582,AGENCE INTERGOVERNEMENTALE -FR,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AGENCE FRA,AGENCE FRANCOPHONIE,0.00%,0
Africa,583,MON-AGFUND,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AGFUND,ARAB GULF PROGM FOR UN DEV ORG,0.00%,0
Africa,627,PAR-PAR/91/888 PROGRAME COST-S,UN_AGY 1,UN AGENCY 1,APORT.PNUD,AGY_PAR-PAR/91/888 PROGRAME CO,0.00%,0
Africa,649,PRC-AUTRES CS,UN_AGY 1,UN AGENCY 1,AUTRES CS,AGY_PRC-AUTRES CS,0.00%,0
Africa,717,CPR-THE GOVERMENT OF KOREA,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,0.00%,0
Africa,783,VEN-CENTRO NACIONAL DE TECNOLO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CNTI,PRIV_VEN-CENTRO NACIONAL DE TE,0.00%,0
Africa,852,IVC-SWISS AGENCY FOR DEVELOPME,CHE,Switzerland,CHE_MIN,Switzerland Ministry,0.00%,0
Africa,862,PER-MINISTERIO PARA EL DESARRO,PER,Peru,PER_MIN,Peru Ministry,0.00%,0
Africa,881,GAM-DEPARTMENT OF STATE FOR AG,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0.00%,0
Africa,952,COL-FONDO DE INVERSION PARA LA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FIP,PRIV_COL-FONDO DE INVERSION PA,0.00%,0
Africa,1011,GHA-GHANA GOVERNMENT,GHA,Ghana,GHA_GOVT,Ghana Government,0.00%,0
Africa,1069,NIR-GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,0.00%,0
Africa,1099,ZIM-GOVERNMENT OF ZIMBABWE,ZWE,Zimbabwe,ZWE_GOVT,Zimbabwe Government,0.00%,0
Africa,1103,PER-COOPERACION ALEMANA AL DES,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0.00%,0
Africa,1110,BOL-HONORABLE ALCALDÍA MUNICIP,BOL,Bolivia,BOL_MIN1,Bolivia Ministry1,0.00%,0
Africa,1127,SEN-INDUSTRIES CHIMIQUES DU SE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ICS,PRIV_SEN-INDUSTRIES CHIMIQUES,0.00%,0
Africa,1187,MEX-INSTITUTO NACIONAL DE LAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INMUJER,PRIV_MEX-INSTITUTO NACIONAL DE,0.00%,0
Africa,1218,PRC-INTERNATIONAL PARTNERSHIP,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0.00%,0
Africa,1482,JAM-ROYAL NETHERLANDS EMBASSY,NLD,Netherlands,NLD_MIN,Netherlands Ministry,0.00%,0
Africa,1501,NAM-NATIONAL INSTITUTE FOR EDU,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NIED,PRIV_NAM-NATIONAL INSTITUTE FO,0.00%,"49,341"
Africa,1554,SWA-OPEN SOCIETY INITIATIVE FO,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0.00%,0
Africa,1611,MOZ-PRIVATE SECTOR,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0.00%,0
