project_id,fiscal_year,operating_unit,region,budget,expenditure,outcome,donor
00011695,2010,"Brazil","Reg Bur Latin Amer & Carib",314811.94,67909.79,1,"BRA"
00011695,2011,"Brazil","Reg Bur Latin Amer & Carib",0,47218.94,1,"BRA"
00011709,2010,"Bulgaria","Reg Bur for Europe & CIS",758973.12,293206.9,1,"UNDP,MIN. LAB.,UNDP,MINECONOMY,UNDCP,AUL,NOR,SIDA,MUN,EU,UKM,MIN. LAB.,MINECONOMY,UNDP"
00011709,2011,"Bulgaria","Reg Bur for Europe & CIS",321429,36628.79,"","MIN. LAB.,UNDCP,NOR,EU,SIDA,MUN,MINECONOMY,UNDP,AUL,UKM"
00011721,2010,"Bulgaria","Reg Bur for Europe & CIS",2166.97,2166.92,10,"MTC"
00011765,2010,"Central African Republic","Reg Bureau for Africa",248964.7,89782.557,6,"UNDP,UN Women,UND,GFATM"
00011767,2010,"Chad","Reg Bureau for Africa",0,1281.69,23,"GEFTrustee,UNDP"
00011777,2010,"Chad","Reg Bureau for Africa",0,37375.47,23,"MPU,UNDP"
00011784,2010,"Chile","Reg Bur Latin Amer & Carib",163674.31,162551.81,1,"CHI,MINVU"
00011796,2010,"Chile","Reg Bur Latin Amer & Carib",7020.46,4.75,23,"CONAF"
00011796,2011,"Chile","Reg Bur Latin Amer & Carib",6274.29,2501.41,"","CONAF"
00011799,2010,"Chile","Reg Bur Latin Amer & Carib",282191.13,242589.14,25,"CHI,GEFTrustee,UNDP,CNE"
00011799,2011,"Chile","Reg Bur Latin Amer & Carib",692000,691145.58,23,"GEFTrustee,UNDP,CHI,CNE"
00011802,2011,"Chile","Reg Bur Latin Amer & Carib",454,2799.57,"","GEF/PPA,MPU"
00011804,2011,"Chile","Reg Bur Latin Amer & Carib",1432.25,1022.12,23,"GEFTrustee"
00011807,2010,"Chile","Reg Bur Latin Amer & Carib",92181.97,22312.83,12,"SII"
00011810,2010,"Chile","Reg Bur Latin Amer & Carib",1655.21,1655.21,25,"IBRD,TRANSANTIA"
00011872,2010,"Cameroon, Republic of","Reg Bureau for Africa",362864,336949.29,1,"SONY CORP,UNDP,UNAIDS"
00011920,2010,"Colombia","Reg Bur Latin Amer & Carib",1163936.33,1127686.69,11,"GOB.ANTIOQ,CCF - C.S,IGP,GOB.VALLE,COL,MINHACIEND"
00011920,2011,"Colombia","Reg Bur Latin Amer & Carib",556298.85,555550.55,11,"GOB.ANTIOQ,IGP,MINHACIEND,CCF - C.S,COL"
00011928,2010,"Colombia","Reg Bur Latin Amer & Carib",7645248.51,6417347.21,11,"ECOPETROL,COL,DNP,IGP"
00011947,2010,"Colombia","Reg Bur Latin Amer & Carib",51256.08,11421.45,11,"SECTRANSP,COL"
00011947,2011,"Colombia","Reg Bur Latin Amer & Carib",11503.91,11503.91,11,"COL,SECTRANSP"
00011970,2010,"Colombia","Reg Bur Latin Amer & Carib",2836371.22,1900079.16,11,"COL,MINHACIEND,GOB COL,LLANCHIPAL"
00011970,2011,"Colombia","Reg Bur Latin Amer & Carib",1815684.53,1786545.55,11,"GOB COL,COL,MINHACIEND,LLANCHIPAL"
00011976,2011,"Colombia","Reg Bur Latin Amer & Carib",39249.58,39239.02,1,"COL,GOB.TOLIMA,ALCALTUNJA,UNDP,METATURISM,GOB.CUND.,ALC.BOGOTA,CCF - C.S"
00011982,2010,"Colombia","Reg Bur Latin Amer & Carib",62716.55,22263.87,11,"COL,UND,UAEAC"
00011997,2011,"Colombia","Reg Bur Latin Amer & Carib",0,5135.37,11,"MOFACSPAIN,IGP,UNDP,ALC.MUN.VL,Convenio d"
00012020,2010,"Colombia","Reg Bur Latin Amer & Carib",392028.5,287302.55,11,"COL,UNDP,APC,CCF - C.S,DAPRE"
00012020,2011,"Colombia","Reg Bur Latin Amer & Carib",9928.41,9925.41,"","UNDP,DAPRE,COL,APC,CCF - C.S"
00012022,2010,"Colombia","Reg Bur Latin Amer & Carib",174598.21,161125.24,1,"ALC.MEDELL,COL,DNP,ALC.CALI,ICBF,MINAMBIENT"
00012022,2011,"Colombia","Reg Bur Latin Amer & Carib",39347.97,38990.29,1,"ALC.MEDELL,MINAMBIENT,DNP,ICBF,COL,ALC.CALI"
00012093,2010,"Costa Rica","Reg Bur Latin Amer & Carib",211181,139210.56,25,"MPU"
00012093,2011,"Costa Rica","Reg Bur Latin Amer & Carib",234650,95135.87,25,"MPU"
