"awardID","projectID","donorID","short_descr","long_descr","donor_type_lvl1","donor_type_lvl1_descr","donor_type_lvl3","donor_type_lvl3_descr"
"00036482","00039689","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036482","00040802","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036482","00040803","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036482","00049704","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036482","00040803","00014","UPU","UNIVERSAL POSTAL UNION","MULTI_AGY","MULTI-LATERAL AGENCY","UPU","UN AGENCY 1"
"00036482","00040803","10279","NZAID","NEW ZEALAND AGY FOR INT'L DEVELOPMENT","NON_PROG CTY","NON_PROGRAMME COUNTRY","NZL","New Zealand"
"00036482","00040803","11234","AusAID","Australian Agency for Int'l Development","NON_PROG CTY","NON_PROGRAMME COUNTRY","AUS","Australia"
"00036482","00040803","11300","SADEV94","LAURENT GARNIER SADEV94","PRIV","PRIVATE SECTOR","PRIV_INTL 1","PRIVATE SECTOR INTERNATIONAL 1"
"00036487","00039703","00087","COL","GOVERNMENT OF COLOMBIA","PROG CTY","PROGRAMME COUNTRY","COL","Colombia"
"00036505","00039738","00134","IRE","GOVERNMENT OF IRELAND","NON_PROG CTY","NON_PROGRAMME COUNTRY","IRL","Ireland"
"00036507","00039741","00137","ITA","GOVERNMENT OF ITALY","NON_PROG CTY","NON_PROGRAMME COUNTRY","ITA","Italy"
"00036548","00039815","00012","UNDP","UNITED NATIONS DEVELOPMENT PROGRAMME","MULTI_AGY","MULTI-LATERAL AGENCY","UNDP_AGY","UN AGENCY 1"
"00036548","00039815","00248","UKM","GOVERNMENT OF UNITED KINGDOM","NON_PROG CTY","NON_PROGRAMME COUNTRY","GBR","United Kingdom"
"00036561","00039829","10394","CONOCO-PHI","CONOCO-PHILLIPS","OTH","OTHERS","OTH_UND1","OTHERS_UNIDENTIFIED1"
"00036593","00039873","00078","CAN","GOVERNMENT OF CANADA","NON_PROG CTY","NON_PROGRAMME COUNTRY","CAN","Canada"
"00036596","00039876","10003","GEFTrustee","Global Environment Fund Trustee","MULTI_AGY","MULTI-LATERAL AGENCY","GEFTRUSTEE","UN AGENCY 1"
