"hq_co","bureau","operatingunit","awardID","award_title","award_description","start_date","end_date","institutionid","inst_descr","inst_type","inst_type_descr","fiscal_year","budget","expenditure"
"CO","RBAS","LBN","00039237","LEB/PHA/44/INV/057-CFC Phase Out plan","National Phase Out Plan for Annexes- A Group-1 Substances (CFCs)","2005-04-01 00:00:00","2011-06-30 00:00:00","01832","Ministry Of Environment","GOV","Gov Counterpart Institution","2011","6256","5855.73"
"CO","RBAS","LBN","00039357","Issue the 4th National Human Development Report"," ","2005-03-18 00:00:00","2011-06-30 00:00:00","01817","Council For Development And Re","GOV","Gov Counterpart Institution","2011","1498","1468.95"
"CO","RBAS","LBN","00039385","Transfer of Knowledge Through Expatriate Nationals","This project aims at reinforcing Government efforts to strengthen technical capacities in key sectors and institutions and establish a mechanism whereby the country can tap into the skills base of its expatriate nationals.","2005-01-01 00:00:00","2012-12-31 00:00:00","01817","Council For Development And Re","GOV","Gov Counterpart Institution","2011","153720","62996.56"
"CO","RBAS","LBN","00040396","Environmental Legislation","Supporting the Judiciary System in the Enforcement of Environmental Legislation","2007-01-01 00:00:00","2011-12-31 00:00:00","01835","Ministry Of Justice","GOV","Gov Counterpart Institution","2011","26411","21199.39"
"CO","RBAS","LBN","00040471","Provide Assistance for Electoral Reform in Lebanon"," ","2005-10-01 00:00:00","2010-09-20 00:00:00","99999","UNDP","UND","UNDP","2011","42","0"
"CO","RBAS","LBN","00042287","Peace Building: a Strategy for Conflict Prevention","Peace Building: a Strategy for Conflict Prevention in Lebanon","2006-01-01 00:00:00","2011-04-30 00:00:00","99999","UNDP","UND","UNDP","2011","259357","248166.34"
"CO","RBAS","LBN","00043523","Improving Access to Justice","Towards Improving Access to Justice by Enhancing Transparency and Efficiency in the Administration of Justice","2006-01-01 00:00:00","2011-09-15 00:00:00","01835","Ministry Of Justice","GOV","Gov Counterpart Institution","2011","5144","5094.84"
"CO","RBAS","LBN","00044843","Support for Early Recovery in Lebanon- Quick Impact","UNDP Support for Early Recovery in Lebanon; Quick Impact; Fast Implementation Projects","2006-01-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","82747","65400.23"
"CO","RBAS","LBN","00044950","ART GOLD LEBANON","ART GOLD Lebanon","2006-01-01 00:00:00","2012-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","3048752.19","2371685.19"
"CO","RBAS","LBN","00045141","Sustainable Energy Strategy for Lebanon","Sustainable Energy Strategy for Lebanon","2007-07-01 00:00:00","2012-12-31 00:00:00","01834","Ministry Of Finance","GOV","Gov Counterpart Institution","2011","35000","34989"
"CO","RBAS","LBN","00045364","Assistance to Lebanese Palestinian Dialogue Committee","Technical assistance to the Government of Lebanon and the Lebanese Palestinian Dialogue Committee (LPDC)","2007-01-01 00:00:00","2012-12-31 00:00:00","01842","Prime Minister Office","GOV","Gov Counterpart Institution","2011","623436","370238.15"
"CO","RBAS","LBN","00046628","Recovery Coordination Support"," ","2007-01-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","1","-201.86"
"CO","RBAS","LBN","00047251","CEDRO","“CEDRO” Community Energy efficiency and renewable energy Demonstration Project for the Recovery Of Lebanon (South, Bekaa & Akkar)","2007-08-01 00:00:00","2013-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","2982618.79","2674237.6"
