awardID,lat,lon,precision,type,scope
62491,24,90,9,2,4
61275,24,90,9,2,4
60015,24,90,9,2,4
58288,24,90,9,2,4
50306,24,90,9,2,4
47613,24,90,9,2,4
46354,24.33333,89.61667,3,2,4
45483,23.7104,90.40744,3,2,4
41911,24,90,9,2,4
41911,24,90,9,2,4
41188,24,90,9,2,4
41188,24,90,9,2,4
40768,24,90,9,2,4
40573,24,90,9,2,4
36925,24,90,9,2,4
11492,24,90,9,2,4
11492,24,90,9,2,4
11486,23.7104,90.40744,1,2,1
59348,23.7104,90.40744,1,1,4
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
58919,25.25,89.5,3,2,4
58919,25.25,89.5,3,2,4
40561,23.7104,90.40744,1,2,2
58919,25.25,89.5,3,2,4
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
58919,25.25,89.5,3,2,4
58919,25.25,89.5,3,2,4
50567,21.9211858,90.6441101,3,2,2
35765,23.7104,90.40744,4,2,3
41978,23.7104,90.40744,3,2,3
41978,23.7104,90.40744,3,2,3
58919,25.25,89.5,3,2,4
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
11500,24.8118,88.94657,3,2,4
11498,21.45388,91.96765,3,2,2
50412,23.7104,90.40744,3,1,4
62509,23.7104,90.40744,3,2,1
46354,24.33333,89.61667,3,1,4
46297,23.7104,90.40744,3,2,4
41978,23.7104,90.40744,3,1,4
41978,23.7104,90.40744,3,2,2
41188,24,90,9,1,4
35765,23.7104,90.40744,4,2,3
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
58919,25.25,89.5,3,2,4
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
58919,25.25,89.5,3,2,4
58919,25.25,89.5,3,2,4
45483,23.7104,90.40744,3,2,2
58919,25.25,89.5,3,2,4
41978,23.7104,90.40744,3,2,3
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
11498,21.45388,91.96765,3,2,2
58919,25.25,89.5,3,2,4
58919,25.25,89.5,3,2,4
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
35765,23.7104,90.40744,4,2,3
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
11500,24.8118,88.94657,3,2,4
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
41978,23.7104,90.40744,3,2,3
41978,23.7104,90.40744,3,2,2
58919,25.25,89.5,3,2,4
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
58919,25.25,89.5,3,2,4
41978,23.7104,90.40744,3,2,3
41978,23.7104,90.40744,3,2,3
58919,25.25,89.5,3,2,4
11500,24.8118,88.94657,3,2,4
58919,25.25,89.5,3,2,4
41978,23.7104,90.40744,3,2,3
58919,25.25,89.5,3,2,4
58919,25.25,89.5,3,2,4
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
41978,23.7104,90.40744,3,1,4
11500,24.8118,88.94657,3,2,4
11500,24.8118,88.94657,3,2,4
41978,23.7104,90.40744,3,2,3
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
45483,23.7104,90.40744,3,2,1
50567,21.9211858,90.6441101,3,2,2
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
35765,23.7104,90.40744,4,2,3
11500,24.8118,88.94657,3,2,4
41978,23.7104,90.40744,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
41978,23.7104,90.40744,3,2,3
57768,22.49056,92.07278,3,2,2
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
11500,24.8118,88.94657,3,2,4
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
46354,24.33333,89.61667,3,2,3
45481,24.33333,89.61667,3,2,3
11500,24.8118,88.94657,3,2,4
50567,21.9211858,90.6441101,3,2,2
62785,24.43944,90.78291,3,2,3
62785,24.43944,90.78291,3,2,3
11500,24.8118,88.94657,3,2,4
35765,23.7104,90.40744,4,2,3
41978,23.7104,90.40744,3,2,3
11500,24.8118,88.94657,3,2,4
46789,43,25,9,1,1
42093,43,25,9,1,1
11709,43,25,9,1,1
57522,42.69751,23.32415,3,1,1
46967,42.69751,23.32415,3,2,1
60062,26,50.5,9,1,4
60062,26,50.5,9,1,4
60062,26,50.5,9,1,4
60062,26,50.5,9,1,4
59750,26.21536,50.5832,3,2,4
60058,26,50.5,9,1,4
59750,26.21536,50.5832,3,1,4
59750,26.21536,50.5832,3,1,4
58375,26,50.5,9,1,4
61812,26.21536,50.5832,3,2,4
58300,26,50.5,9,1,4
58010,26,50.5,9,1,4
58010,26,50.5,9,1,4
58010,26,50.5,9,2,4
57437,26,50.5,9,1,4
50450,26,50.5,9,1,4
49377,26.21536,50.5832,3,2,4
60062,26,50.5,9,1,4
60062,26,50.5,9,1,4
49245,26,50.5,9,1,4
44347,26,50.5,9,1,4
42330,26,50.5,9,1,4
57476,41.285,22.00139,3,2,2
57476,41.285,22.00139,3,2,2
37913,44.46,16.401,3,2,2
60201,44.4633,17.118,3,1,1
58680,44.5257,16.95,3,1,3
58775,45.814,17.5914,3,2,3
58775,45.814,17.5914,3,2,3
49292,43.4937,17.026,3,2,2
62324,44.15,17.5,9,1,4
57210,44.15,17.5,9,1,4
57201,44.15,17.5,9,1,4
51474,44.15,17.5,9,1,4
50813,44.15,17.5,9,1,4
50813,44.15,17.5,9,1,4
50771,44.15,17.5,9,1,4
50469,44.15,17.5,9,1,4
