iso3,abbrev,terr_id,name,lon,lat,terr_name
R11,RBA,R11,Dakar Regional Service Centre,-17.444,14.694,Dakar Regional Service Centre
R44,RBAS,R44,Cairo Regional Center,31.25,30.063,Cairo Regional Center
R45,RBLAC,R45,Rgnl Ctr in Trinidad & Tobago,-61,11,Rgnl Ctr in Trinidad & Tobago
R46,RBLAC,R46,Panama Regional Center,-79.52,8.994,Panama Regional Center
RJB,RBA,RJB,Regional SC - Johannesburg,28.044,-26.202,Regional SC - Johannesburg
SVK,RBEC,SVK,Bratislava Regional Center,17.107,48.148,Bratislava Regional Center
UNV,UNV.,UNV,United Nations Volunteers,,,United Nations Volunteers
A-VHHD,,,Very high human development,,,
A-HHD,,,High human development,,,
A-MHD,,,Medium human development,,,
A-LHD,,,Low human development,,,
A-RAS,,,Reg Bur for Arab States,,,
A-REC,,,Reg Bur for Europe & CIS,,,
A-RAP,,,East Asia and the Pacific (RB),,,
A-RSA,,,South Asia (RB),,,
A-RLAC,,,Latin America and the Caribbean (RB),,,
A-RSSA,,,Sub-Saharan Africa (RB),,,
A-LDC,,,Least developed countries,,,
A-SIDS,,,SIDS,,,
A-000,,,World,,,
